University,Program-Code,Program-Major-Name,Field-Type,First-Cap,Second-Cap,Female-Cap,Male-Cap,Description
دانشگاه آيت اله بروجردي-  بروجرد,1001,رياضيات وكاربردها,,40,-,زن,مرد,
دانشگاه آيت اله بروجردي-  بروجرد,1002,فيزيك,,40,-,زن,مرد,
دانشگاه آيت اله بروجردي-  بروجرد,1003,مهندسي عمران,,40,-,زن,مرد,
دانشگاه آيت اله بروجردي-  بروجرد,1004,مهندسي كامپيوتر,نرم افزار,40,-,زن,مرد,
دانشگاه آيت اله بروجردي-  بروجرد,6701,علوم اقتصادي,اقتصادبازرگاني,40,-,زن,مرد,
دانشگاه آيت اله بروجردي-  بروجرد,6702,علوم اقتصادي,اقتصادنظري,-,40,زن,مرد,
دانشگاه اراك,1005,رياضيات وكاربردها,,30,-,ـــ,مرد,
دانشگاه اراك,1006,رياضيات وكاربردها,,-,30,زن,ـــ,
دانشگاه اراك,1007,علوم كامپيوتر,,-,30,ـــ,مرد,محل تحصيل مركز آموزش عالي محلات- فاقد خوابگاه و امكانات رفاهي
دانشگاه اراك,1008,فيزيك,,20,-,زن,ـــ,
دانشگاه اراك,1009,فيزيك,,-,30,ـــ,مرد,
دانشگاه اراك,1010,مهندسي برق,قدرت,25,-,ـــ,مرد,
دانشگاه اراك,1011,مهندسي برق,مخابرات,-,30,زن,ـــ,
دانشگاه اراك,1012,مهندسي شيمي,,30,-,ـــ,مرد,
دانشگاه اراك,1013,مهندسي صنايع,,-,30,ـــ,مرد,محل تحصيل مركز آموزش عالي محلات- فاقد خوابگاه و امكانات رفاهي
دانشگاه اراك,1014,مهندسي عمران,,30,-,ـــ,مرد,
دانشگاه اراك,1015,مهندسي كامپيوتر,نرم افزار,30,-,ـــ,مرد,
دانشگاه اراك,1016,مهندسي كامپيوتر,نرم افزار,30,-,ـــ,مرد,محل تحصيل مركز آموزش عالي محلات- فاقد خوابگاه و امكانات رفاهي
دانشگاه اراك,1017,مهندسي مكانيك,,30,-,ـــ,مرد,
دانشگاه اراك,1018,مهندسي مواد,متالوژي صنعتي,30,-,ـــ,مرد,
دانشگاه اراك,1019,مهندسي كشاورزي -مكانيك ماشينهاي كشاورزي,,30,-,ـــ,مرد,
دانشگاه اراك,1020,مهندسي كشاورزي -اب,,20,-,10,10,
دانشگاه اروميه,1021,رياضيات وكاربردها,,50,-,زن,مرد,
دانشگاه اروميه,1022,فيزيك,اتمي,-,45,زن,مرد,
دانشگاه اروميه,1023,فيزيك,حالت جامد,45,-,زن,مرد,
دانشگاه اروميه,1024,فيزيك,نظري,45,-,زن,مرد,
دانشگاه اروميه,1025,فيزيك,هسته اي,-,45,زن,مرد,
دانشگاه اروميه,1026,مهندسي برق,الكترونيك,40,-,زن,مرد,
دانشگاه اروميه,1027,مهندسي برق,قدرت,40,-,زن,مرد,
دانشگاه اروميه,1028,مهندسي برق,مخابرات,40,-,زن,مرد,
دانشگاه اروميه,1029,مهندسي شهرسازي,,45,-,زن,مرد,
دانشگاه اروميه,1030,مهندسي عمران,,45,-,زن,مرد,
دانشگاه اروميه,1031,مهندسي عمران,,60,-,20,40,محل تحصيل آموزشكده فني خوي
دانشگاه اروميه,1032,مهندسي كامپيوتر,نرم افزار,45,-,زن,مرد,
دانشگاه اروميه,1033,مهندسي معدن,,45,-,ـــ,مرد,
دانشگاه اروميه,1034,مهندسي معدن,,50,-,ـــ,مرد,محل تحصيل مركز اموزش عالي شهيد باكري مياندواب
دانشگاه اروميه,1035,مهندسي معماري,,45,-,زن,مرد,
دانشگاه اروميه,1036,مهندسي مكانيك,,45,-,زن,مرد,
دانشگاه اروميه,1037,كاردان فني عمران,كارهاي عمومي ساختمان,50,-,25,25,محل تحصيل آموزشكده فني خوي
دانشگاه اروميه,1038,مهندسي كشاورزي -مكانيك ماشينهاي كشاورزي,,50,-,ـــ,مرد,
دانشگاه اروميه,1039,مهندسي كشاورزي -اب,,50,-,زن,مرد,
دانشگاه اروميه,1040,كارداني معماري,,50,-,25,25,محل تحصيل آموزشكده فني خوي
دانشگاه اروميه,6703,حسابداري,,35,-,زن,مرد,
دانشگاه اروميه,6704,شيمي,كاربردي,-,60,زن,مرد,
دانشگاه اروميه,6705,علوم اقتصادي,اقتصادبازرگاني,-,45,زن,مرد,
دانشگاه اروميه,6706,علوم اقتصادي,اقتصادنظري,45,-,زن,مرد,
دانشگاه اروميه,6707,مديريت بازرگاني,,50,-,زن,مرد,
دانشگاه اصفهان,1041,امار وكاربردها,,20,-,زن,ـــ,
دانشگاه اصفهان,1042,رياضيات وكاربردها,,20,-,زن,ـــ,
دانشگاه اصفهان,1043,علوم كامپيوتر,,20,-,زن,ـــ,
دانشگاه اصفهان,1044,فيزيك,,40,-,20,20,
دانشگاه اصفهان,1045,مهندسي برق,الكترونيك,30,-,15,15,
دانشگاه اصفهان,1046,مهندسي برق,قدرت,20,-,ـــ,مرد,
دانشگاه اصفهان,1047,مهندسي پزشكي,بيوالكتريك,30,-,15,15,
دانشگاه اصفهان,1048,مهندسي پزشكي,بيومكانيك,30,-,15,15,
دانشگاه اصفهان,1049,مهندسي شيمي,,30,-,15,15,
دانشگاه اصفهان,1050,مهندسي عمران,,20,-,ـــ,مرد,
دانشگاه اصفهان,1051,مهندسي عمران,نقشه برداري,25,-,ـــ,مرد,
