University,Program-Code,Program-Major-Name,Field-Type,First-Cap,Second-Cap,Female-Cap,Male-Cap,Description
دانشگاه شهيدمدني آذربايجان-  تبريز,4970,مهندسي فناوري اطلاعات,,200,-,زن,مرد,
دانشگاه شيراز,4971,مهندسي برق,مخابرات,50,50,40,60,محل تحصيل دانشكده آموزشهاي الكترونيكي
دانشگاه شيراز,4972,مهندسي فناوري اطلاعات,,200,-,80,120,محل تحصيل دانشكده آموزشهاي الكترونيكي
دانشگاه شيراز,4973,مهندسي فناوري اطلاعات,,-,200,80,120,محل تحصيل دانشكده آموزشهاي الكترونيكي
دانشگاه شيراز,4974,مهندسي كامپيوتر,سخت افزار,200,-,80,120,محل تحصيل دانشكده آموزشهاي الكترونيكي
دانشگاه شيراز,4975,مهندسي كامپيوتر,سخت افزار,-,200,80,120,محل تحصيل دانشكده آموزشهاي الكترونيكي
دانشگاه شيراز,4976,مهندسي كامپيوتر,نرم افزار,-,200,80,120,محل تحصيل دانشكده آموزشهاي الكترونيكي
دانشگاه شيراز,4977,مهندسي كامپيوتر,نرم افزار,200,-,80,120,محل تحصيل دانشكده آموزشهاي الكترونيكي
دانشگاه صنعتي خواجه نصيرالدين طوسي-  تهران,4978,مهندسي صنايع,,50,-,زن,مرد,
دانشگاه صنعتي سهند-  تبريز,4979,مهندسي پزشكي,بيوالكتريك,-,200,زن,مرد,
دانشگاه صنعتي سهند-  تبريز,4980,مهندسي شيمي,,-,200,زن,مرد,
دانشگاه صنعتي سهند-  تبريز,4981,مهندسي فناوري اطلاعات,,-,100,زن,مرد,
موسسه اموزشي وپژوهشي امام خميني)ره-(  قم,9902,معارف اسلامي,,200,-,زن,مرد,
دانشگاه غيرانتفاعي قرآن و حديث-  قم,9903,علوم حديث,,200,-,زن,مرد,محل تحصيل شهرري
دانشگاه غيرانتفاعي قرآن و حديث-  قم,9904,علوم ومعارف قران,,200,-,زن,مرد,محل تحصيل شهرري
موسسه غيرانتفاعي الكترونيكي )مجازي( نورطوبي - تهران,9905,مديريت مالي,,200,-,زن,مرد,
موسسه غيرانتفاعي الكترونيكي )مجازي( رايانهاي - تهران,4982,مهندسي فناوري اطلاعات,,-,200,زن,مرد,
موسسه غيرانتفاعي الكترونيكي )مجازي( فاران -  تهران,9906,مديريت صنعتي,,100,100,زن,مرد,
موسسه غيرانتفاعي الكترونيكي )مجازي( فاران -  تهران,9907,مديريت كسب وكارهاي كوچك,,100,100,زن,مرد,
دانشگاه صنعتي شريف-  تهران,4983,مهندسي عمران,,-,40,زن,مرد,پذيرش ازطريق پرديس بين الملل دانشگاه صنعتي شريف در جزيره كيش- محل تحصيل تهران
دانشگاه صنعتي شريف-  تهران,4984,مهندسي فناوري اطلاعات,,-,40,زن,مرد,پذيرش ازطريق پرديس بين الملل دانشگاه صنعتي شريف در جزيره كيش- محل تحصيل تهران
دانشگاه صنعتي شريف-  تهران,4985,مهندسي مكانيك,,-,40,زن,مرد,پذيرش ازطريق پرديس بين الملل دانشگاه صنعتي شريف در جزيره كيش- محل تحصيل تهران
دانشگاه صنعتي شريف-  تهران,4986,مهندسي نفت,,-,40,زن,مرد,پذيرش ازطريق پرديس بين الملل دانشگاه صنعتي شريف در جزيره كيش- محل تحصيل تهران
دانشگاه صنعتي شريف-  تهران,4987,مكاترونيك,,-,40,زن,مرد,پذيرش ازطريق پرديس بين الملل دانشگاه صنعتي شريف در جزيره كيش- محل تحصيل تهران
