University,Program-Code,Program-Major-Name,Field-Type,First-Cap,Second-Cap,Female-Cap,Male-Cap,Description
مخصوص داوطلبان بومي استان ايلام,2223,مهندسي برق,قدرت,5,-,1,4,دانشگاه ايلام
مخصوص داوطلبان بومي استان ايلام,2224,مهندسي شيمي,,2,-,1,1,دانشگاه ايلام
مخصوص داوطلبان بومي استان ايلام,2225,مهندسي عمران,,2,-,1,1,دانشگاه ايلام
مخصوص داوطلبان بومي استان ايلام,2226,مهندسي فناوري اطلاعات,,2,-,1,1,دانشگاه ايلام
مخصوص داوطلبان بومي استان ايلام,2227,مهندسي كامپيوتر,نرم افزار,2,-,1,1,دانشگاه ايلام
مخصوص داوطلبان بومي استان ايلام,2228,مهندسي معماري,,5,-,2,3,دانشگاه ايلام
مخصوص داوطلبان بومي استان بوشهر,2229,مهندسي فناوري اطلاعات,,2,-,ـــ,مرد,دانشگاه تهران
مخصوص داوطلبان بومي استان بوشهر,2230,مهندسي صنايع,,3,-,ـــ,مرد,دانشگاه خليج فارس بوشهر ـ محل تحصيل دانشكده جم
مخصوص داوطلبان بومي استان بوشهر,2231,مهندسي كامپيوتر,نرم افزار,4,-,ـــ,مرد,دانشگاه خليج فارس بوشهر   ـ محل تحصيل دانشكده جم
مخصوص داوطلبان بومي استان بوشهر,2232,مهندسي رباتيك,,1,-,ـــ,مرد,دانشگاه شاهرود
مخصوص داوطلبان بومي استان بوشهر,2233,مهندسي نفت,مخازن نفت,5,-,ـــ,مرد,دانشگاه شيراز
مخصوص داوطلبان بومي استان چهارمحال و بختياري,2234,مهندسي معماري,,4,-,زن,مرد,دانشگاه ايلام
مخصوص داوطلبان بومي استان چهارمحال و بختياري,2235,مهندسي عمران,نقشه برداري,4,-,زن,مرد,دانشگاه تفرش
مخصوص داوطلبان بومي استان چهارمحال و بختياري,2236,مهندسي برق,,4,-,زن,مرد,دانشگاه صنعتي اصفهان
مخصوص داوطلبان بومي استان چهارمحال و بختياري,7068,مديريت بازرگاني,,3,-,زن,مرد,دانشگاه ايلام
مخصوص داوطلبان بومي استان چهارمحال و بختياري,7069,مديريت صنعتي,,2,-,زن,مرد,دانشگاه شيراز
