University,Program-Code,Program-Major-Name,Field-Type,First-Cap,Second-Cap,Female-Cap,Male-Cap,Description
مخصوص داوطلبان بومي استان آذربايجان شرقي,2312,دبيري رياضي,,28,-,ـــ,مرد,پرديس علامه اميني ـ تبريز
مخصوص داوطلبان بومي استان آذربايجان شرقي,2313,دبيري فيزيك,,23,-,ـــ,مرد,پرديس علامه اميني ـ  تبريز
مخصوص داوطلبان بومي استان آذربايجان شرقي,2314,دبيري رياضي,,7,-,زن,ـــ,پرديس علامه طباطبايي ـ اروميه
مخصوص داوطلبان بومي استان آذربايجان شرقي,2315,دبيري فيزيك,,18,-,زن,ـــ,پرديس فاطمه الزهرا)س(   ـ تبريز
مخصوص داوطلبان بومي استان آذربايجان غربي,2316,دبيري رياضي,,9,-,ـــ,مرد,پرديس شهيد رجايي ـ اروميه
مخصوص داوطلبان بومي استان آذربايجان غربي,2317,دبيري فيزيك,,14,-,ـــ,مرد,پرديس شهيد رجايي ـ اروميه
مخصوص داوطلبان بومي استان آذربايجان غربي,2318,دبيري رياضي,,6,-,زن,ـــ,پرديس علامه طباطبايي ـ اروميه
مخصوص داوطلبان بومي استان آذربايجان غربي,2319,دبيري فيزيك,,7,-,زن,ـــ,پرديس فاطمه الزهرا)س(   ـ تبريز
مخصوص داوطلبان بومي استان اردبيل,2320,دبيري رياضي,,4,-,ـــ,مرد,پرديس شهيد رجايي ـ اروميه
مخصوص داوطلبان بومي استان اردبيل,2321,دبيري فيزيك,,10,-,ـــ,مرد,پرديس علامه طباطبايي ـ اردبيل
مخصوص داوطلبان بومي استان اردبيل,2322,دبيري رياضي,,2,-,زن,ـــ,پرديس علامه طباطبايي ـ اروميه
مخصوص داوطلبان بومي استان اردبيل,2323,دبيري فيزيك,,1,-,زن,ـــ,پرديس فاطمه الزهرا)س(   ـ تبريز
مخصوص داوطلبان بومي استان اصفهان,2324,دبيري فيزيك,,11,-,ـــ,مرد,پرديس بحرالعلوم ـ شهركرد
مخصوص داوطلبان بومي استان اصفهان,2325,دبيري رياضي,,31,-,ـــ,مرد,پرديس شهيد باهنر ـ اصفهان
مخصوص داوطلبان بومي استان اصفهان,2326,دبيري فيزيك,,36,-,ـــ,مرد,پرديس شهيد باهنر ـ اصفهان
مخصوص داوطلبان بومي استان اصفهان,2327,دبيري فيزيك,,22,-,زن,ـــ,پرديس فاطمه الزهرا)س( ـ اصفهان
مخصوص داوطلبان بومي استان اصفهان,2328,دبيري رياضي,,9,-,زن,ـــ,پرديس فاطمه الزهرا)س( ـ يزد
مخصوص داوطلبان بومي استان البرز,2432,دبيري فيزيك,,19,-,ـــ,مرد,پرديس حكيم ابوالقاسم فردوسي ـ كرج
مخصوص داوطلبان بومي استان البرز,2433,دبيري رياضي,,11,-,زن,ـــ,پرديس زينبيه ـ پيشوا
مخصوص داوطلبان بومي استان البرز,2434,دبيري فيزيك,,8,-,زن,ـــ,پرديس زينبيه ـ پيشوا
مخصوص داوطلبان بومي استان البرز,2435,دبيري رياضي,,9,-,ـــ,مرد,پرديس شهيد مفتح-شهرري
مخصوص داوطلبان بومي استان ايلام,2329,دبيري رياضي,,8,-,ـــ,مرد,پرديس حضرت رسول اكرم)ص( ـ اهواز
مخصوص داوطلبان بومي استان ايلام,2330,دبيري فيزيك,,7,-,ـــ,مرد,پرديس شهيد رجايي ـ كرمانشاه
مخصوص داوطلبان بومي استان بوشهر,2331,دبيري فيزيك,,14,-,ـــ,مرد,پرديس حضرت رسول اكرم)ص( ـ اهواز
مخصوص داوطلبان بومي استان بوشهر,2332,دبيري فيزيك,,3,-,زن,ـــ,پرديس شهيد باهنر ـ شيراز
مخصوص داوطلبان بومي استان بوشهر,2333,دبيري رياضي,,7,-,ـــ,مرد,پرديس شهيد رجايي ـ شيراز
مخصوص داوطلبان بومي استان بوشهر,2334,دبيري رياضي,,1,-,زن,ـــ,پرديس فاطمه الزهرا)س( ـ يزد
مخصوص داوطلبان بومي استان تهران,2335,دبيري رياضي,,11,-,زن,ـــ,پرديس زينبيه ـ پيشوا
مخصوص داوطلبان بومي استان تهران,2336,دبيري فيزيك,,12,-,زن,ـــ,پرديس زينبيه ـ پيشوا
مخصوص داوطلبان بومي استان تهران,2337,دبيري رياضي,,27,-,ـــ,مرد,پرديس شهيد چمران ـ تهران
مخصوص داوطلبان بومي استان تهران,2338,دبيري فيزيك,,30,-,ـــ,مرد,پرديس شهيد چمران ـ تهران
مخصوص داوطلبان بومي استان تهران,2339,دبيري فيزيك,,23,-,ـــ,مرد,پرديس شهيد مفتح-شهرري
مخصوص داوطلبان بومي استان تهران,2340,دبيري رياضي,,30,-,زن,ـــ,پرديس نسيبه ـ تهران
مخصوص داوطلبان بومي استان تهران,2341,دبيري فيزيك,,30,-,زن,ـــ,پرديس نسيبه ـ تهران
مخصوص داوطلبان بومي استان چهارمحال و بختياري,2342,دبيري فيزيك,,9,-,ـــ,مرد,پرديس بحرالعلوم ـ شهركرد
مخصوص داوطلبان بومي استان چهارمحال و بختياري,2343,دبيري رياضي,,5,-,ـــ,مرد,پرديس حضرت رسول اكرم)ص( ـ اهواز
مخصوص داوطلبان بومي استان چهارمحال و بختياري,2344,دبيري فيزيك,,5,-,زن,ـــ,پرديس شهيد صدوقي ـ كرمانشاه
مخصوص داوطلبان بومي استان خراسان جنوبي,2345,دبيري رياضي,,1,-,ـــ,مرد,پرديس شهيد بهشتي-مشهد
مخصوص داوطلبان بومي استان خراسان جنوبي,2346,دبيري فيزيك,,4,-,ـــ,مرد,پرديس شهيد مطهري ـ زاهدان
مخصوص داوطلبان بومي استان خراسان جنوبي,2347,دبيري رياضي,,1,-,زن,ـــ,پرديس شهيد هاشمينژاد ـ مشهد
مخصوص داوطلبان بومي استان خراسان جنوبي,2348,دبيري فيزيك,,2,-,زن,ـــ,پرديس شهيد هاشمي نژاد ـ مشهد
مخصوص داوطلبان بومي استان خراسان رضوي,2349,دبيري فيزيك,,16,-,ـــ,مرد,پرديس امام محمد باقر)ع( ـ بجنورد
ادامه مخصوص داوطلبان بومي استان خراسان رضوي,2350,دبيري رياضي,,27,-,ـــ,مرد,پرديس شهيد بهشتي-مشهد
ادامه مخصوص داوطلبان بومي استان خراسان رضوي,2351,دبيري فيزيك,,32,-,ـــ,مرد,پرديس شهيد بهشتي-مشهد
ادامه مخصوص داوطلبان بومي استان خراسان رضوي,2352,دبيري رياضي,,13,-,زن,ـــ,پرديس شهيد هاشمي نژاد ـ مشهد
ادامه مخصوص داوطلبان بومي استان خراسان رضوي,2353,دبيري فيزيك,,16,-,زن,ـــ,پرديس شهيد هاشمي نژاد ـ مشهد
مخصوص داوطلبان بومي استان خراسان شمالي,2354,دبيري فيزيك,,7,-,ـــ,مرد,پرديس امام محمد باقر)ع( ـ بجنورد
مخصوص داوطلبان بومي استان خراسان شمالي,2355,دبيري رياضي,,3,-,ـــ,مرد,پرديس شهيد بهشتي-مشهد
مخصوص داوطلبان بومي استان خراسان شمالي,2356,دبيري رياضي,,1,-,زن,ـــ,پرديس شهيد هاشمي نژاد ـ مشهد
مخصوص داوطلبان بومي استان خوزستان,2357,دبيري رياضي,,15,-,ـــ,مرد,پرديس حضرت رسول اكرم)ص( ـ اهواز
مخصوص داوطلبان بومي استان خوزستان,2358,دبيري فيزيك,,29,-,ـــ,مرد,پرديس حضرت رسول اكرم)ص( ـ اهواز
مخصوص داوطلبان بومي استان خوزستان,2359,دبيري فيزيك,,17,-,زن,ـــ,پرديس فاطمه الزهرا)س( ـ اصفهان
مخصوص داوطلبان بومي استان خوزستان,2360,دبيري رياضي,,5,-,زن,ـــ,پرديس فاطمه الزهرا)س( ـ يزد
مخصوص داوطلبان بومي استان زنجان,2361,دبيري رياضي,,4,-,زن,ـــ,پرديس الزهرا)س( ـ زنجان
مخصوص داوطلبان بومي استان زنجان,2362,دبيري فيزيك,,3,-,زن,ـــ,پرديس بنت الهدي صدر- رشت
مخصوص داوطلبان بومي استان زنجان,2363,دبيري فيزيك,,11,-,ـــ,مرد,پرديس شهيد بهشتي ـ زنجان
مخصوص داوطلبان بومي استان زنجان,2364,دبيري رياضي,,6,-,ـــ,مرد,پرديس شهيد مفتح-شهرري
مخصوص داوطلبان بومي استان سمنان,2365,دبيري فيزيك,,2,-,ـــ,مرد,پرديس آيتاله خامنهاي ـ گرگان
مخصوص داوطلبان بومي استان سمنان,2366,دبيري رياضي,,5,-,ـــ,مرد,پرديس شهيد چمران ـ تهران
