University,Program-Code,Program-Major-Name,Field-Type,First-Cap,Second-Cap,Female-Cap,Male-Cap,Description
مخصوص داوطلبان بومی استان آذربايجان شرقي,7087,کاردانی آموزش و پرورش ابتدایی,,30,-,ـــ,مرد,پرديس علامه اميني ـ  تبريز
مخصوص داوطلبان بومی استان آذربايجان شرقي,7088,کاردانی آموزش و پرورش ابتدایی,,30,-,زن,ـــ,پرديس فاطمه الزهرا)س(   ـ تبريز
مخصوص داوطلبان بومی استان آذربايجان غربي,7089,کاردانی آموزش و پرورش ابتدایی,,30,-,ـــ,مرد,پرديس شهيد رجايي ـ اروميه
مخصوص داوطلبان بومی استان آذربايجان غربي,7090,کاردانی آموزش و پرورش ابتدایی,,30,-,زن,ـــ,پرديس علامه طباطبايي ـ اروميه
مخصوص داوطلبان بومی استان اردبيل,7091,کاردانی آموزش و پرورش ابتدایی,,30,-,ـــ,مرد,پرديس علامه طباطبايي ـ اردبيل
مخصوص داوطلبان بومی استان البرز,7128,کاردانی آموزش و پرورش ابتدایی,,30,-,زن,ـــ,پرديس اميركبير ـ كرج
مخصوص داوطلبان بومی استان البرز,7129,کاردانی آموزش و پرورش ابتدایی,,30,-,ـــ,مرد,پرديس حكيم ابوالقاسم فردوسي ـ كرج
مخصوص داوطلبان بومی استان ايلام,7092,کاردانی آموزش و پرورش ابتدایی,,30,-,زن,ـــ,پرديس امام جعفر صادق)ع( ـ ايلام
مخصوص داوطلبان بومی استان ايلام,7093,کاردانی آموزش و پرورش ابتدایی,,30,-,ـــ,مرد,پرديس شهيد مدرس ـ ايلام
مخصوص داوطلبان بومی استان بوشهر,7094,کاردانی آموزش و پرورش ابتدایی,,30,-,زن,ـــ,پرديس بنت الهدي صدر ـ بوشهر
مخصوص داوطلبان بومی استان بوشهر,7095,کاردانی آموزش و پرورش ابتدایی,,30,-,ـــ,مرد,پرديس علامه طباطبايي ـ بوشهر
مخصوص داوطلبان بومی استان تهران,7096,کاردانی آموزش و پرورش ابتدایی,,30,-,زن,ـــ,پرديس زينبيه ـ پيشوا
مخصوص داوطلبان بومی استان چهارمحال و بختياري,7097,کاردانی آموزش و پرورش ابتدایی,,30,-,ـــ,مرد,پرديس بحرالعلوم ـ شهركرد
مخصوص داوطلبان بومی استان خراسان جنوبي,7098,کاردانی آموزش و پرورش ابتدایی,,30,-,زن,ـــ,پرديس امام سجاد)ع( ـ بيرجند
مخصوص داوطلبان بومی استان خراسان جنوبي,7099,کاردانی آموزش و پرورش ابتدایی,,30,-,ـــ,مرد,پرديس شهيد باهنر ـ بيرجند
مخصوص داوطلبان بومی استان خراسان شمالي,7100,کاردانی آموزش و پرورش ابتدایی,,30,-,زن,ـــ,پرديس امام جعفر صادق)ع( ـ بجنورد
