Programme-Code,Province,Capacity-first,Capacity-Second,Female-Cap,Male-Cap,Location
7087,آذربايجان شرقي,30,-,ـــ,مرد,پرديس علامه اميني ـ  تبريز
7088,آذربايجان شرقي,30,-,زن,ـــ,پرديس فاطمه الزهرا)س(   ـ تبريز
7089,آذربايجان غربي,30,-,ـــ,مرد,پرديس شهيد رجايي ـ اروميه
7090,آذربايجان غربي,30,-,زن,ـــ,پرديس علامه طباطبايي ـ اروميه
7091,اردبيل,30,-,ـــ,مرد,پرديس علامه طباطبايي ـ اردبيل
7128,البرز,30,-,زن,ـــ,پرديس اميركبير ـ كرج
7129,البرز,30,-,ـــ,مرد,پرديس حكيم ابوالقاسم فردوسي ـ كرج
7092,ايلام,30,-,زن,ـــ,پرديس امام جعفر صادق)ع( ـ ايلام
7093,ايلام,30,-,ـــ,مرد,پرديس شهيد مدرس ـ ايلام
7094,بوشهر,30,-,زن,ـــ,پرديس بنت الهدي صدر ـ بوشهر
7095,بوشهر,30,-,ـــ,مرد,پرديس علامه طباطبايي ـ بوشهر
7096,تهران,30,-,زن,ـــ,پرديس زينبيه ـ پيشوا
7097,چهارمحال و بختياري,30,-,ـــ,مرد,پرديس بحرالعلوم ـ شهركرد
7098,خراسان جنوبي,30,-,زن,ـــ,پرديس امام سجاد)ع( ـ بيرجند
7099,خراسان جنوبي,30,-,ـــ,مرد,پرديس شهيد باهنر ـ بيرجند
7100,خراسان شمالي,30,-,زن,ـــ,پرديس امام جعفر صادق)ع( ـ بجنورد
7101,خراسان شمالي,30,-,ـــ,مرد,پرديس امام محمد باقر)ع( ـ بجنورد
7102,خوزستان,30,-,زن,ـــ,پرديس فاطمه الزهرا)س( ـ اهواز
7103,زنجان,30,-,زن,ـــ,پرديس الزهرا)س( ـ زنجان
7104,زنجان,30,-,ـــ,مرد,پرديس شهيد بهشتي ـ زنجان
7105,سمنان,40,-,20,20,پرديس شهيد رجايي ـ سمنان
7106,سيستان و بلوچستان,30,-,زن,ـــ,پرديس رسالت ـ زاهدان
7107,سيستان و بلوچستان,30,-,ـــ,مرد,پرديس شهيد مطهري ـ زاهدان
7108,فارس,30,-,ـــ,مرد,پرديس شهيد رجايي ـ شيراز
7109,قزوين,40,-,20,20,پرديس شهيد رجايي ـ قزوين
7110,كردستان,30,-,زن,ـــ,پرديس بنت الهدي صدر ـ سنندج
7111,كردستان,30,-,ـــ,مرد,پرديس شهيد مدرس ـ سنندج
7112,كرمان,30,-,ـــ,مرد,پرديس خواجه نصيرالدين طوسي ـ كرمان
7113,كرمان,30,-,زن,ـــ,پرديس شهيد باهنر ـ كرمان
7114,كرمانشاه,30,-,ـــ,مرد,پرديس شهيد رجايي ـ كرمانشاه
7115,كهگيلويه و بويراحمد,30,-,ـــ,مرد,پرديس شهيد ايزدپناه ـ ياسوج
7116,كهگيلويه و بويراحمد,30,-,زن,ـــ,پرديس كوثر ـ ياسوج
7117,گلستان,30,-,ـــ,مرد,پرديس آيتاله خامنه اي ـ گرگان
7118,گلستان,30,-,زن,ـــ,پرديس امام خميني)ره( ـ گرگان
7119,گيلان,30,-,ـــ,مرد,پرديس امام علي)ع( ـ رشت
7120,لرستان,30,-,زن,ـــ,پرديس آيت اله كمال وند ـ خرم آباد
7121,لرستان,30,-,ـــ,مرد,پرديس علامه طباطبايي ـ خرم آباد
7122,مازندران,30,-,ـــ,مرد,پرديس دكتر شريعتي ـ ساري
7123,مركزي,30,-,ـــ,مرد,پرديس شهيد باهنر ـ اراك
7124,هرمزگان,30,-,ـــ,مرد,پرديس شهيد بهشتي ـ بندرعباس
7125,هرمزگان,30,-,زن,ـــ,پرديس فاطمه الزهرا)س( ـ بندرعباس
7126,همدان,30,-,زن,ـــ,پرديس شهيد باهنر ـ همدان
7127,يزد,30,-,ـــ,مرد,پرديس شهيد پاك نژاد-يزد
