University,Program-Code,Program-Major-Name,Field-Type,First-Cap,Second-Cap,Female-Cap,Male-Cap,Description
دانشگاه تهران,7021,دكتراي پيوسته بيوتكنولوژي,,-,8,زن,مرد,
دانشگاه شهيد باهنركرمان,2219,دكتراي پيوسته رياضي,,-,10,5,5,پذيرش ازرتبه هاي كمترازهزار
دانشگاه صنعت نفت,2220,مهندسي كشتي,موتور,-,25,ـــ,مرد,محل تحصيل محمودآباد مازندران
مركزتحصيلات تكميلي در علوم پايه زنجان,2221,دكتراي پيوسته فيزيك,,-,20,زن,مرد,داراي امكانات خوابگاهي
دانشكده اطلاعات وابسته به وزارت اطلاعات,7061,علوم اجتماعي,مطالعات امنيتي,-,100,ـــ,مرد,
دانشكده اطلاعات وابسته به وزارت اطلاعات,7062,علوم سياسي,مطالعات امنيتي,-,100,ـــ,مرد,
دانشكده اطلاعات وابسته به وزارت اطلاعات,7063,مديريت اطلاعات وارتباطات,,-,100,ـــ,مرد,
دانشكده صدا و سيماي جمهوري اسلامي ايران,2222,كاردان فني برق,الكترونيك,-,60,ـــ,مرد,
دانشگاه علوم پايه انتظامي نيروي انتظامي,7064,علوم انتظامي,,-,760,ـــ,مرد,شرايط درانتهاي دفترچه
دانشگاه علوم پايه انتظامي نيروي انتظامي,7065,علوم انتظامي,,-,260,ـــ,مرد,ويژه شاغلين نيروي انتظامي-شرايط درانتهاي دفترچه
دانشگاه علوم پايه انتظامي نيروي انتظامي,7066,كارداني علوم پايه انتظامي,,-,45,زن,ـــ,شرايط درانتهاي دفترچه
دانشگاه علوم پايه انتظامي نيروي انتظامي,7067,كارداني علوم پايه انتظامي,,-,15,زن,ـــ,ويژه شاغلين نيروي انتظامي-شرايط درانتهاي دفترچه
دانشگاه اراك,7004,تربيت بدني و علوم ورزشي,,-,20,ـــ,مرد,
دانشگاه اروميه,7004,تربيت بدني و علوم ورزشي,,-,50,25,25,
دانشگاه اصفهان,7004,تربيت بدني و علوم ورزشي,,-,40,20,20,
دانشگاه الزهرا)س-(تهران,7004,تربيت بدني و علوم ورزشي,رفتارحركتي,-,13,زن,ـــ,
دانشگاه الزهرا)س-(تهران,7004,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,13,زن,ـــ,
دانشگاه الزهرا)س-(تهران,7004,تربيت بدني و علوم ورزشي,مديريت ورزشي,-,13,زن,ـــ,
دانشگاه بجنورد,7004,تربيت بدني و علوم ورزشي,,-,40,20,20,
دانشگاه بوعلي سينا همدان,7004,تربيت بدني و علوم ورزشي,,-,30,15,15,
دانشگاه بوعلي سينا همدان,7004,تربيت بدني و علوم ورزشي,,-,30,زن,ـــ,محل تحصیل دانشکده نهاوند-فاقد خوابگاه
دانشگاه بيرجند,7004,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,40,20,20,
دانشگاه بيرجند,7004,تربيت بدني و علوم ورزشي,مديريت ورزشي,-,40,20,20,
دانشگاه بين المللي امام خميني )ره-(قزوين,7004,تربيت بدني و علوم ورزشي,رفتارحركتي,-,30,زن,مرد,
دانشگاه بين المللي امام خميني )ره-(قزوين,7004,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,30,زن,مرد,
دانشگاه تبريز,7004,تربيت بدني و علوم ورزشي,رفتارحركتي,-,20,10,10,
دانشگاه تبريز,7004,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,20,10,10,
دانشگاه تبريز,7004,تربيت بدني و علوم ورزشي,مديريت ورزشي,-,20,10,10,
دانشگاه تهران,7004,تربيت بدني و علوم ورزشي,,-,40,20,20,
دانشگاه جهرم,7004,تربيت بدني و علوم ورزشي,"فيزيولوژي ورزشي, مديريت ورزشي",-,20,10,10,
دانشگاه حكيم سبزواري - سبزوار,7004,تربيت بدني و علوم ورزشي,,-,22,11,11,
دانشگاه خوارزمی تهران,7004,تربيت بدني و علوم ورزشي,,-,45,ـــ,مرد,محل تحصیل کرج (فاقد خوابگاه)
دانشگاه خوارزمی تهران,7004,تربيت بدني و علوم ورزشي,,-,35,زن,ـــ,محل تحصیل کرج
دانشگاه رازي كرمانشاه,7004,تربيت بدني و علوم ورزشي,,-,40,20,20,
دانشگاه زابل,7004,تربيت بدني و علوم ورزشي,,-,25,زن,مرد,
دانشگاه زنجان,7004,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,30,15,15,
دانشگاه سمنان,7004,تربيت بدني و علوم ورزشي,رفتارحركتي,-,25,ـــ,مرد,
دانشگاه سيستان وبلوچستان- زاهدان,7004,تربيت بدني و علوم ورزشي,,-,28,14,14,
دانشگاه سيستان وبلوچستان- زاهدان,7004,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,28,14,14,
دانشگاه سيستان وبلوچستان- زاهدان,7004,تربيت بدني و علوم ورزشي,مديريت ورزشي,-,28,14,14,
دانشگاه شاهد-تهران*,7004,تربيت بدني و علوم ورزشي,مديريت ورزشي,-,20,زن,مرد,
دانشگاه شاهرود,7004,تربيت بدني و علوم ورزشي,,-,30,15,15,
دانشگاه شهركرد,7004,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,32,16,16,
دانشگاه شهيدباهنركرمان,7004,تربيت بدني و علوم ورزشي,,-,35,17,18,
دانشگاه شهيدبهشتي- تهران,7004,تربيت بدني و علوم ورزشي,,-,30,15,15,
دانشگاه شهيدچمران اهواز,7004,تربيت بدني و علوم ورزشي,,-,35,ـــ,مرد,
دانشگاه شهيدمدني آذربايجان- تبريز,7004,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,34,17,17,
دانشگاه شهيدمدني آذربايجان- تبريز,7004,تربيت بدني و علوم ورزشي,مديريت ورزشي,-,34,17,17,
دانشگاه شيراز,7004,تربيت بدني و علوم ورزشي,,-,25,10,15,
دانشگاه فردوسي مشهد,7004,تربيت بدني و علوم ورزشي,,-,30,15,15,
دانشگاه قم,7004,تربيت بدني و علوم ورزشي,,-,60,25,35,
دانشگاه كاشان,7004,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,14,ـــ,مرد,
دانشگاه كردستان -سنندج,7004,تربيت بدني و علوم ورزشي,,-,30,15,15,
دانشگاه گيلان -رشت,7004,تربيت بدني و علوم ورزشي,,-,30,15,15,
دانشگاه گيلان -رشت,7004,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,30,15,15,
