University,Program-Code,Program-Major-Name,Field-Type,First-Cap,Second-Cap,Female-Cap,Male-Cap,Description
دانشگاه آيت اله بروجردي- بروجرد,2436,رياضيات وكاربردها,,-,45,زن,مرد,
دانشگاه آيت اله بروجردي- بروجرد,2437,فيزيك,,-,45,زن,مرد,
دانشگاه آيت اله بروجردي- بروجرد,2438,مهندسي عمران,,-,45,زن,مرد,
دانشگاه آيت اله بروجردي- بروجرد,2439,مهندسي كامپيوتر,نرم افزار,-,45,زن,مرد,
دانشگاه آيت اله بروجردي- بروجرد,7184,علوم اقتصادي,اقتصادبازرگاني,-,45,زن,مرد,
دانشگاه آيت اله بروجردي- بروجرد,7185,علوم اقتصادي,اقتصادنظري,45,-,زن,مرد,
دانشگاه اراك,2440,رياضيات وكاربردها,,20,-,ـــ,مرد,
دانشگاه اراك,2441,رياضيات وكاربردها,,-,25,زن,ـــ,
دانشگاه اراك,2442,علوم كامپيوتر,,-,15,ـــ,مرد,محل تحصيل مركزآموزش عالي محلات-فاقـدخوابگاه وامكانـات رفاهي
دانشگاه اراك,2443,فيزيك,,20,-,زن,ـــ,
دانشگاه اراك,2444,فيزيك,,-,25,ـــ,مرد,
دانشگاه اراك,2445,مهندسي برق,قدرت,20,-,ـــ,مرد,
دانشگاه اراك,2446,مهندسي برق,مخابرات,-,15,زن,ـــ,
دانشگاه اراك,2447,مهندسي شيمي,,-,40,زن,ـــ,
دانشگاه اراك,2448,مهندسي صنايع,,-,15,ـــ,مرد,محل تحصيل مركزآموزش عالي محلات-فاقـدخوابگاه وامكانـات رفاهي
دانشگاه اراك,2449,مهندسي عمران,,-,40,زن,ـــ,
دانشگاه اراك,2450,مهندسي كامپيوتر,نرم افزار,-,40,ـــ,مرد,
دانشگاه اراك,2451,مهندسي كامپيوتر,نرم افزار,15,-,ـــ,مرد,محل تحصيل مركزآموزش عالي محلات-فاقـدخوابگاه وامكانـات رفاهي
دانشگاه اراك,2452,مهندسي مكانيك,,-,40,ـــ,مرد,
دانشگاه اراك,2453,مهندسي مواد,متالوژي صنعتي,-,40,ـــ,مرد,
دانشگاه اراك,2454,مهندسي كشاورزي -مكانيك ماشينهاي كشاورزي,,15,-,ـــ,مرد,
دانشگاه اراك,2455,مهندسي كشاورزي -اب,,30,-,15,15,
دانشگاه اراك,7186,شيمي,كاربردي,-,50,زن,ـــ,
دانشگاه اروميه,2456,رياضيات وكاربردها,,5,-,زن,مرد,
دانشگاه اروميه,2457,فيزيك,اتمي,-,5,زن,مرد,
دانشگاه اروميه,2458,فيزيك,حالت جامد,5,-,زن,مرد,
دانشگاه اروميه,2459,فيزيك,نظري,5,-,زن,مرد,
دانشگاه اروميه,2460,فيزيك,هستهاي,-,5,زن,مرد,
دانشگاه اروميه,2461,مهندسي برق,الكترونيك,5,-,زن,مرد,
دانشگاه اروميه,2462,مهندسي برق,قدرت,5,-,زن,مرد,
دانشگاه اروميه,2463,مهندسي برق,مخابرات,5,-,زن,مرد,
دانشگاه اروميه,2464,مهندسي شهرسازي,,5,-,زن,مرد,
دانشگاه اروميه,2465,مهندسي عمران,,5,-,زن,مرد,
دانشگاه اروميه,2466,مهندسي عمران,,5,-,زن,مرد,محل تحصيل آموزشكده فني خوي
دانشگاه اروميه,2467,مهندسي كامپيوتر,نرم افزار,5,-,زن,مرد,
دانشگاه اروميه,2468,مهندسي معدن,,5,-,ـــ,مرد,
دانشگاه اروميه,2469,مهندسي معدن,,5,-,ـــ,مرد,محل تحصيل مركز آموزش عالي شهيد باكري مياندواب
دانشگاه اروميه,2470,مهندسي معماري,,5,-,زن,مرد,
دانشگاه اروميه,2471,مهندسي مكانيك,,5,-,زن,مرد,
دانشگاه اروميه,2472,كاردان فني عمران,كارهاي عمومي ساختمان,5,-,زن,مرد,محل تحصيل آموزشكده فني خوي
دانشگاه اروميه,2473,مهندسي كشاورزي -مكانيك ماشينهاي كشاورزي,,5,-,ـــ,مرد,
دانشگاه اروميه,2474,مهندسي كشاورزي -اب,,5,-,زن,مرد,
دانشگاه اروميه,2475,كارداني معماري,,5,-,زن,مرد,محل تحصيل آموزشكده فني خوي
دانشگاه اروميه,7187,حسابداري,,5,-,زن,مرد,
دانشگاه اروميه,7188,شيمي,كاربردي,-,5,زن,مرد,
دانشگاه اروميه,7189,علوم اقتصادي,اقتصادبازرگاني,-,5,زن,مرد,
دانشگاه اروميه,7190,علوم اقتصادي,اقتصادنظري,5,-,زن,مرد,
دانشگاه اروميه,7191,مديريت بازرگاني,,5,-,زن,مرد,
دانشگاه الزهرا)س-( تهران,2476,امار وكاربردها,,-,15,زن,ـــ,
