Programme-Code,Programme-Major-Name,Major-Type,Capacity-first,Capacity-Second,Female-Cap,Male-Cap,University Location
7333,تربيت بدني و علوم ورزشي,,-,20,ـــ,مرد,دانشگاه اراك
7333,تربيت بدني و علوم ورزشي,,-,5,زن,مرد,دانشگاه اروميه
7333,تربيت بدني و علوم ورزشي,رفتارحركتي,-,12,زن,ـــ,دانشگاه الزهرا)س-(تهران
7333,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,12,زن,ـــ,دانشگاه الزهرا)س-(تهران
7333,تربيت بدني و علوم ورزشي,مديريت ورزشي,-,12,زن,ـــ,دانشگاه الزهرا)س-(تهران
7333,تربيت بدني و علوم ورزشي,,-,10,5,5,دانشگاه بوعلي سينا همدان
7333,تربيت بدني و علوم ورزشي,,-,10,زن,ـــ,دانشگاه بوعلي سينا همدان ـ محل تحصيل دانشكده نهاوند-فاقد خوابگاه
7333,تربيت بدني و علوم ورزشي,رفتارحركتي,-,6,3,3,دانشگاه تبريز
7333,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,6,3,3,دانشگاه تبريز
7333,تربيت بدني و علوم ورزشي,مديريت ورزشي,-,6,3,3,دانشگاه تبريز
7333,تربيت بدني و علوم ورزشي,"فيزيولــــوژي ورزشــــي, مديريت ورزشي",-,10,5,5,دانشگاه جهرم
7333,تربيت بدني و علوم ورزشي,,-,22,11,11,دانشگاه حكيم سبزواري-سبزوار
7333,تربيت بدني و علوم ورزشي,,-,40,20,20,دانشگاه رازي كرمانشاه
7333,تربيت بدني و علوم ورزشي,,-,25,زن,مرد,دانشگاه زابل
7333,تربيت بدني و علوم ورزشي,,-,25,12,13,دانشگاه شاهرود
7333,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,4,2,2,دانشگاه شهركرد
7333,تربيت بدني و علوم ورزشي,,-,20,10,10,دانشگاه شهيدباهنركرمان
7333,تربيت بدني و علوم ورزشي,,-,10,ـــ,مرد,دانشگاه شهيدچمران اهواز
7333,تربيت بدني و علوم ورزشي,,-,10,5,5,دانشگاه فردوسي مشهد
7333,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,6,ـــ,مرد,دانشگاه كاشان
7333,تربيت بدني و علوم ورزشي,,-,15,8,7,دانشگاه گيلان - رشت
7333,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,15,8,7,دانشگاه گيلان - رشت
7333,تربيت بدني و علوم ورزشي,مديريت ورزشي,-,15,8,7,دانشگاه گيلان - رشت
7333,تربيت بدني و علوم ورزشي,مربيگري ورزشي,-,10,ـــ,مرد,دانشگاه گيلان - رشت ـ  عنوان رشته مربيگري ورزشي
7333,تربيت بدني و علوم ورزشي,بيومكانيك ورزشي,-,16,8,8,دانشگاه مازندران - بابلسر
7333,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,16,8,8,دانشگاه مازندران - بابلسر
7333,تربيت بدني و علوم ورزشي,مديريت ورزشي,-,16,8,8,دانشگاه مازندران - بابلسر
7333,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,15,ـــ,مرد,دانشگاه محقق اردبيلي- اردبيل
7333,تربيت بدني و علوم ورزشي,,-,8,4,4,دانشگاه هرمزگان - بندرعباس
7333,تربيت بدني و علوم ورزشي,,-,15,7,8,دانشگاه يزد
7363,علوم اقتصادي,اقتصادبازرگاني,100,-,زن,مرد,دانشگاه اروميه
7364,علوم اقتصادي,اقتصادنظري,100,-,زن,مرد,دانشگاه اروميه
7365,مديريت بازرگاني,,100,-,زن,مرد,دانشگاه اروميه
7366,مديريت بازرگاني,,-,80,40,40,دانشگاه علامه طباطبايي - تهران
7367,مديريت بازرگاني,,200,-,100,100,دانشگاه كردستان - سنندج
7368,معارف اسلامي,,120,-,زن,مرد,موسسه اموزشي وپژوهشي امام خميني)ره(- قم
