University,Program-Code,Program-Major-Name,Field-Type,First-Cap,Second-Cap,Female-Cap,Male-Cap,Description
دانشگاه اراك,7333,تربيت بدني و علوم ورزشي,,-,20,ـــ,مرد,
دانشگاه اروميه,7333,تربيت بدني و علوم ورزشي,,-,5,زن,مرد,
دانشگاه الزهرا)س-(تهران,7333,تربيت بدني و علوم ورزشي,رفتارحركتي,-,12,زن,ـــ,
دانشگاه الزهرا)س-(تهران,7333,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,12,زن,ـــ,
دانشگاه الزهرا)س-(تهران,7333,تربيت بدني و علوم ورزشي,مديريت ورزشي,-,12,زن,ـــ,
دانشگاه بوعلي سينا همدان,7333,تربيت بدني و علوم ورزشي,,-,10,5,5,
دانشگاه بوعلي سينا همدان,7333,تربيت بدني و علوم ورزشي,,-,10,زن,ـــ,محل تحصیل دانشکده نهاوند-فاقد خوابگاه
دانشگاه تبريز,7333,تربيت بدني و علوم ورزشي,رفتارحركتي,-,6,3,3,
دانشگاه تبريز,7333,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,6,3,3,
دانشگاه تبريز,7333,تربيت بدني و علوم ورزشي,مديريت ورزشي,-,6,3,3,
دانشگاه جهرم,7333,تربيت بدني و علوم ورزشي,"فيزيولــــوژي ورزشــــي, مديريت ورزشي",-,10,5,5,
دانشگاه حكيم سبزواري-سبزوار,7333,تربيت بدني و علوم ورزشي,,-,22,11,11,
دانشگاه رازي كرمانشاه,7333,تربيت بدني و علوم ورزشي,,-,40,20,20,
دانشگاه زابل,7333,تربيت بدني و علوم ورزشي,,-,25,زن,مرد,
دانشگاه شاهرود,7333,تربيت بدني و علوم ورزشي,,-,25,12,13,
دانشگاه شهركرد,7333,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,4,2,2,
دانشگاه شهيدباهنركرمان,7333,تربيت بدني و علوم ورزشي,,-,20,10,10,
دانشگاه شهيدچمران اهواز,7333,تربيت بدني و علوم ورزشي,,-,10,ـــ,مرد,
دانشگاه فردوسي مشهد,7333,تربيت بدني و علوم ورزشي,,-,10,5,5,
دانشگاه كاشان,7333,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,6,ـــ,مرد,
دانشگاه گيلان - رشت,7333,تربيت بدني و علوم ورزشي,,-,15,8,7,
دانشگاه گيلان - رشت,7333,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,15,8,7,
دانشگاه گيلان - رشت,7333,تربيت بدني و علوم ورزشي,مديريت ورزشي,-,15,8,7,
دانشگاه گيلان - رشت,7333,تربيت بدني و علوم ورزشي,مربيگري ورزشي,-,10,ـــ,مرد,عنوان رشته مربیگری ورزشی
دانشگاه مازندران - بابلسر,7333,تربيت بدني و علوم ورزشي,بيومكانيك ورزشي,-,16,8,8,
دانشگاه مازندران - بابلسر,7333,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,16,8,8,
دانشگاه مازندران - بابلسر,7333,تربيت بدني و علوم ورزشي,مديريت ورزشي,-,16,8,8,
دانشگاه محقق اردبيلي- اردبيل,7333,تربيت بدني و علوم ورزشي,فيزيولوژي ورزشي,-,15,ـــ,مرد,
دانشگاه هرمزگان - بندرعباس,7333,تربيت بدني و علوم ورزشي,,-,8,4,4,
دانشگاه يزد,7333,تربيت بدني و علوم ورزشي,,-,15,7,8,
دانشگاه اروميه,7363,علوم اقتصادي,اقتصادبازرگاني,100,-,زن,مرد,
دانشگاه اروميه,7364,علوم اقتصادي,اقتصادنظري,100,-,زن,مرد,
دانشگاه اروميه,7365,مديريت بازرگاني,,100,-,زن,مرد,
دانشگاه علامه طباطبايي - تهران,7366,مديريت بازرگاني,,-,80,40,40,محل تحصيل مركز آموزشهاي نيمه حضوري دانشگاه
دانشگاه كردستان - سنندج,7367,مديريت بازرگاني,,200,-,100,100,
موسسه اموزشي وپژوهشي امام خميني)ره-(  قم*,7368,معارف اسلامي,,120,-,زن,مرد,
