University,Program-Code,Program-Major-Name,Field-Type,First-Cap,Second-Cap,Female-Cap,Male-Cap,Description
دانشكده آمار و انفورماتيك سازمان سنجش آموزش كشور)غيرانتفاعي(,4220,كارداني علمي -كاربردي نرم افزاركامپيوتر,,100,-,زن,مرد,
دانشكده آمار و انفورماتيك سازمان سنجش آموزش كشور)غيرانتفاعي(,4221,آمارو سنجش اموزشي,,60,-,زن,مرد,
دانشكده اصول الدين )غيرانتفاعي(*,9429,زبان وادبيات عربي,,30,-,زن,ـــ,محل تحصيل تهران
دانشكده اصول الدين )غيرانتفاعي(*,9430,زبان وادبيات عربي,,30,-,ـــ,مرد,محل تحصيل دزفول
دانشكده اصول الدين )غيرانتفاعي(*,9431,زبان وادبيات عربي,,30,-,زن,ـــ,محل تحصيل دزفول
دانشكده اصول الدين )غيرانتفاعي(*,9432,زبان وادبيات عربي,,30,-,زن,ـــ,محل تحصيل ساوه
دانشكده اصول الدين )غيرانتفاعي(*,9433,زبان وادبيات عربي,,30,-,ـــ,مرد,محل تحصيل قم
دانشكده اصول الدين )غيرانتفاعي(*,9434,زبان وادبيات عربي,,30,-,زن,ـــ,محل تحصيل قم
دانشكده اصول الدين )غيرانتفاعي(*,9435,علوم قران وحديث,,30,-,زن,ـــ,محل تحصيل تهران
دانشكده اصول الدين )غيرانتفاعي(*,9436,علوم قران وحديث,,30,-,ـــ,مرد,محل تحصيل دزفول
دانشكده اصول الدين )غيرانتفاعي(*,9437,علوم قران وحديث,,30,-,زن,ـــ,محل تحصيل دزفول
دانشكده اصول الدين )غيرانتفاعي(*,9438,علوم قران وحديث,,30,-,ـــ,مرد,محل تحصيل ساوه
دانشكده اصول الدين )غيرانتفاعي(*,9439,علوم قران وحديث,,30,-,زن,ـــ,محل تحصيل قم
دانشكده اصول الدين )غيرانتفاعي(*,9440,علوم قران وحديث,,30,-,ـــ,مرد,محل تحصيل قم
دانشكده اصول الدين )غيرانتفاعي(*,9441,فقه وحقوق اسلامي,,30,-,زن,ـــ,محل تحصيل تهران
دانشكده اصول الدين )غيرانتفاعي(*,9442,فقه وحقوق اسلامي,,30,-,زن,ـــ,محل تحصيل دزفول
دانشكده اصول الدين )غيرانتفاعي(*,9443,فقه وحقوق اسلامي,,30,-,ـــ,مرد,محل تحصيل دزفول
دانشكده اصول الدين )غيرانتفاعي(*,9444,فقه وحقوق اسلامي,,30,-,زن,ـــ,محل تحصيل ساوه
دانشكده اصول الدين )غيرانتفاعي(*,9445,فقه وحقوق اسلامي,,30,-,ـــ,مرد,محل تحصيل ساوه
دانشكده اصول الدين )غيرانتفاعي(*,9446,فقه وحقوق اسلامي,,30,-,زن,ـــ,محل تحصيل قم
دانشكده اصول الدين )غيرانتفاعي(*,9447,فقه وحقوق اسلامي,,30,-,ـــ,مرد,محل تحصيل قم
دانشكده معارف قرآني- اصفهان)غيرانتفاعي(,9448,الهيات ومعارف اسلامي -فقه ومباني حقوق اسلامي,,60,-,زن,ـــ,شرايط و ضوابط در انتهاي دفترچه
دانشكده معارف قرآني- اصفهان)غيرانتفاعي(,9449,الهيات ومعارف اسلامي -فلسفه وكلام اسلامي,,60,-,زن,ـــ,شرايط و ضوابط در انتهاي دفترچه
دانشكده معارف قرآني- اصفهان)غيرانتفاعي(,9450,تربيت معلم قران مجيد,,60,-,زن,ـــ,شرايط و ضوابط در انتهاي دفترچه
دانشكده معارف قرآني- اصفهان)غيرانتفاعي(,9451,زبان وادبيات عربي,,60,-,زن,ـــ,شرايط و ضوابط در انتهاي دفترچه
دانشكده معارف قرآني- اصفهان)غيرانتفاعي(,9452,علوم قران وحديث,,60,-,زن,ـــ,شرايط و ضوابط در انتهاي دفترچه
دانشكده معارف قرآني- اصفهان)غيرانتفاعي(,9453,معارف اسلامي وعلوم تربيتي,,60,-,زن,ـــ,شرايط و ضوابط در انتهاي دفترچه
دانشكده معارف قرآني- اصفهان)غيرانتفاعي(,9454,معارف قرآن مجيد,,60,-,زن,ـــ,شرايط و ضوابط در انتهاي دفترچه
دانشكده معارف قرآني- اصفهان)غيرانتفاعي(,9455,كارداني تربيت معلم قران مجيد,,100,-,زن,ـــ,شرايط و ضوابط در انتهاي دفترچه
دانشگاه غير انتفاعي بين المللي امام رضا )ع(,4222,مهندسي برق,الكترونيك,60,-,30,30,محل تحصيل خواهران و برادران در دو پرديس جداگانه ميباشد.
دانشگاه غير انتفاعي بين المللي امام رضا )ع(,4223,مهندسي برق,مخابرات,60,-,30,30,محل تحصيل خواهران و برادران در دو پرديس جداگانه ميباشد.
دانشگاه غير انتفاعي بين المللي امام رضا )ع(,4224,مهندسي پزشكي,بيوالكتريك,60,-,30,30,محل تحصيل خواهران و برادران در دو پرديس جداگانه ميباشد.
دانشگاه غير انتفاعي بين المللي امام رضا )ع(,4225,مهندسي فناوري اطلاعات,,60,-,30,30,محل تحصيل خواهران و برادران در دو پرديس جداگانه ميباشد.
دانشگاه غير انتفاعي بين المللي امام رضا )ع(,4226,مهندسي كامپيوتر,سخت افزار,60,-,30,30,محل تحصيل خواهران و برادران در دو پرديس جداگانه ميباشد.
دانشگاه غير انتفاعي بين المللي امام رضا )ع(,4227,مهندسي كامپيوتر,نرم افزار,60,-,30,30,محل تحصيل خواهران و برادران در دو پرديس جداگانه ميباشد.
دانشگاه غير انتفاعي بين المللي امام رضا )ع(,9456,حسابداري,,60,-,30,30,محل تحصيل خواهران و برادران در دو پرديس جداگانه ميباشد.
دانشگاه غير انتفاعي بين المللي امام رضا )ع(,9457,كتابداري واطلاع رساني,,60,-,30,30,محل تحصيل خواهران و برادران در دو پرديس جداگانه ميباشد.
دانشگاه غير انتفاعي بين المللي امام رضا )ع(,9458,مديريت بازرگاني,,60,-,30,30,محل تحصيل خواهران و برادران در دو پرديس جداگانه ميباشد.
دانشگاه غير انتفاعي بين المللي امام رضا )ع(,9459,مديريت بيمه,,60,-,30,30,محل تحصيل خواهران و برادران در دو پرديس جداگانه ميباشد.
دانشگاه غير انتفاعي بين المللي امام رضا )ع(,9460,مديريت صنعتي,,60,-,30,30,محل تحصيل خواهران و برادران در دو پرديس جداگانه ميباشد.
دانشگاه غير انتفاعي بين المللي امام رضا )ع(,9461,مديريت مالي,,60,-,30,30,محل تحصيل خواهران و برادران در دو پرديس جداگانه ميباشد.
دانشگاه غيرانتفاعي شمال -  آمل,4228,علوم كامپيوتر,,60,-,زن,مرد,
دانشگاه غيرانتفاعي شمال -  آمل,4229,مهندسي برق,الكترونيك,60,-,زن,مرد,
دانشگاه غيرانتفاعي شمال -  آمل,4230,مهندسي برق,قدرت,60,-,زن,مرد,
دانشگاه غيرانتفاعي شمال -  آمل,4231,مهندسي شيمي,,60,-,زن,مرد,
دانشگاه غيرانتفاعي شمال -  آمل,4232,مهندسي صنايع,,60,-,زن,مرد,
دانشگاه غيرانتفاعي شمال -  آمل,4233,مهندسي عمران,,60,-,زن,مرد,
دانشگاه غيرانتفاعي شمال -  آمل,4234,مهندسي كامپيوتر,نرم افزار,60,-,زن,مرد,
دانشگاه غيرانتفاعي شمال -  آمل,4235,مهندسي معماري,,60,-,زن,مرد,
دانشگاه غيرانتفاعي شمال -  آمل,4236,مهندسي مكانيك,,60,-,زن,مرد,
دانشگاه غيرانتفاعي شمال -  آمل,4237,كاردان فني برق,الكترونيك,100,-,زن,مرد,
دانشگاه غيرانتفاعي شمال -  آمل,4238,كاردان فني عمران,كارهاي عمومي ساختمان,100,-,زن,مرد,
دانشگاه غيرانتفاعي شمال -  آمل,9462,حسابداري,,60,-,زن,مرد,
دانشگاه غيرانتفاعي شمال -  آمل,9463,مديريت بازرگاني,,60,-,زن,مرد,
دانشگاه غيرانتفاعي شمال -  آمل,9464,مديريت جهانگردي,,60,-,زن,مرد,
دانشگاه غيرانتفاعي شمال -  آمل,9465,مديريت صنعتي,,60,-,زن,مرد,
دانشگاه غيرانتفاعي شمال -  آمل,9466,كارداني حسابداري,,100,-,زن,مرد,
دانشگاه غيرانتفاعي شيخ بهايي - اصفهان,4239,امار وكاربردها,,60,-,زن,مرد,
ادامه دانشگاه غيرانتفاعي شيخ بهايي - اصفهان,4240,رياضيات وكاربردها,,60,-,زن,مرد,
ادامه دانشگاه غيرانتفاعي شيخ بهايي - اصفهان,4241,علوم كامپيوتر,,60,-,زن,مرد,
ادامه دانشگاه غيرانتفاعي شيخ بهايي - اصفهان,4242,مهندسي برق,الكترونيك,60,-,زن,مرد,
ادامه دانشگاه غيرانتفاعي شيخ بهايي - اصفهان,4243,مهندسي شهرسازي,,60,-,زن,مرد,
ادامه دانشگاه غيرانتفاعي شيخ بهايي - اصفهان,4244,مهندسي فناوري اطلاعات,,60,-,زن,مرد,
ادامه دانشگاه غيرانتفاعي شيخ بهايي - اصفهان,4245,مهندسي كامپيوتر,سخت افزار,60,-,زن,مرد,
ادامه دانشگاه غيرانتفاعي شيخ بهايي - اصفهان,4246,مهندسي كامپيوتر,نرم افزار,60,-,زن,مرد,
ادامه دانشگاه غيرانتفاعي شيخ بهايي - اصفهان,9467,مديريت بازرگاني,,60,-,زن,مرد,
ادامه دانشگاه غيرانتفاعي شيخ بهايي - اصفهان,9468,مديريت جهانگردي,,60,-,زن,مرد,
ادامه دانشگاه غيرانتفاعي شيخ بهايي - اصفهان,9469,مديريت صنعتي,,60,-,زن,مرد,
دانشگاه غيرانتفاعي علم و فرهنگ - تهران,4247,امار وكاربردها,,50,-,زن,مرد,
دانشگاه غيرانتفاعي علم و فرهنگ - تهران,4248,مهندسي برق,الكترونيك,50,-,زن,مرد,
دانشگاه غيرانتفاعي علم و فرهنگ - تهران,4249,مهندسي صنايع,,50,-,زن,مرد,
دانشگاه غيرانتفاعي علم و فرهنگ - تهران,4250,مهندسي عمران,,50,-,زن,مرد,
دانشگاه غيرانتفاعي علم و فرهنگ - تهران,4251,مهندسي كامپيوتر,نرم افزار,50,-,زن,مرد,
دانشگاه غيرانتفاعي علم و فرهنگ - تهران,4252,مهندسي معماري,,40,-,زن,مرد,
دانشگاه غيرانتفاعي علم و فرهنگ - تهران,4253,معماري داخلي,,50,-,زن,مرد,
دانشگاه غيرانتفاعي علم و فرهنگ - تهران,9470,حسابداري,,50,-,زن,مرد,
دانشگاه غيرانتفاعي علم و فرهنگ - تهران,9472,مديريت بازرگاني,,60,-,زن,مرد,
دانشگاه غيرانتفاعي علم و فرهنگ - تهران,9473,مديريت جهانگردي,,60,-,زن,مرد,
دانشگاه غيرانتفاعي علم و فرهنگ - تهران,9474,مديريت صنعتي,,50,-,زن,مرد,
دانشگاه غيرانتفاعي علم و فرهنگ - تهران,9475,مديريت فرهنگي هنري,,50,-,زن,مرد,
دانشگاه غيرانتفاعي علوم و فنون مازندران-  بابل,4254,مهندسي برق,قدرت,60,-,زن,مرد,
دانشگاه غيرانتفاعي علوم و فنون مازندران-  بابل,4255,مهندسي صنايع,,60,-,زن,مرد,
دانشگاه غيرانتفاعي علوم و فنون مازندران-  بابل,4256,مهندسي فناوري اطلاعات,,60,-,زن,مرد,
دانشگاه غيرانتفاعي علوم و فنون مازندران-  بابل,4257,مهندسي كامپيوتر,سخت افزار,60,-,زن,مرد,
دانشگاه غيرانتفاعي علوم و فنون مازندران-  بابل,4258,مهندسي كامپيوتر,نرم افزار,60,-,زن,مرد,
دانشگاه غيرانتفاعي علوم و فنون مازندران-  بابل,4259,مهندسي مكانيك,,60,-,زن,مرد,
دانشگاه غيرانتفاعي قرآن و حديث-  قم *,9476,الهيات ومعارف اسلامي -فلسفه وكلام اسلامي,,60,-,زن,ـــ,پذيرش براي رشته كلام اسلامي- محل تحصيل شهرري
دانشگاه غيرانتفاعي قرآن و حديث-  قم *,9477,علوم حديث,,60,-,زن,ـــ,محل تحصيل شهرري
دانشگاه غيرانتفاعي قرآن و حديث-  قم *,9478,علوم حديث,,60,-,زن,ـــ,محل تحصيل قم
دانشگاه غيرانتفاعي قرآن و حديث-  قم *,9479,فقه وحقوق اسلامي,,60,-,زن,ـــ,محل تحصيل شهرري
دانشگاه غيرانتفاعي قرآن و حديث-  قم *,9480,علوم ومعارف قران,,60,-,زن,ـــ,محل تحصيل شهرري
